user_id,full_name,email,phone_number,visit_count,total_spent
1,Barbara Pollard,timothydavis@hotmail.com,9313781002,26,1474.18
2,Melissa Harrington,sherrilin@bell.org,8624060753,33,185.08
3,Anna Quinn,khunter@yahoo.com,8575594105,50,4784.77
4,Kenneth Sanchez,tford@torres-whitehead.com,8826267971,38,2649.49
5,Matthew Baker,mshields@garza.com,9755191638,46,2121.18
6,Tonya Parker,spencerkatrina@hotmail.com,7996269302,25,1805.64
7,Amanda Davis,edwardmunoz@gmail.com,8105486070,2,2286.93
8,David Roberts,judithmartinez@hotmail.com,9472740831,3,432.5
9,Stephen White,thomas12@lambert.biz,8546843865,8,119.65
10,Erika Rodriguez,warrentraci@yahoo.com,7329724789,21,836.37
11,Joshua Young,zgarcia@hotmail.com,9496704013,21,206.62
12,Shawn Wilson,troybailey@white-perez.com,7966901964,45,4865.09
13,Rachael Daniel,mmcgrath@mann.com,9410242962,14,1316.04
14,Laura Osborne,parrisherica@rodriguez-johnson.info,8912013812,9,3510.08
15,Emily Wood,sharon70@mcdowell.info,8585204093,43,4020.7
16,Elizabeth Gonzalez,jacksoncynthia@raymond.info,8742208688,4,1662.67
17,Eric Chaney,xrodriguez@potts.info,9686041067,39,3381.55
18,Michael Brown,oberry@black.info,8617113453,2,2787.7
19,Frank Reed,afletcher@gmail.com,8250565593,8,565.21
20,Tonya Monroe,virginia37@yahoo.com,8373330304,15,296.46
21,Jerry Ramirez,robert37@hotmail.com,8129387730,27,3356
22,Patricia Roman,william09@howard.org,8202383197,17,2657.9
23,David Smith,reneedunlap@yahoo.com,7199962192,21,2367.42
24,Kevin Hall,jacksonamanda@bridges.net,7728131614,36,2425.81
25,Rebecca Townsend,jeromejohnson@wilson.org,8473417395,11,153.08
26,Cheryl Butler,jmoran@gmail.com,9934329276,42,3750.03
27,Jamie Gallegos,hansonwilliam@bennett-greene.com,7425027037,15,2824.12
28,Thomas Mason,brian75@hotmail.com,9549474122,20,4265.98
29,Brianna Tyler,fbrown@hall-espinoza.com,7615826959,49,1339.82
30,Donald Bryant,masondavid@gmail.com,8558645222,27,208.17
31,Rachel Harris,glennalexander@harmon-moore.info,7656388828,3,4931.48
32,Christina Guerrero,paula83@yahoo.com,7505763328,13,4912.58
33,Joshua Le,fbailey@gmail.com,8668397783,19,3920.57
34,Jessica Bradshaw,willisrhonda@huang-murphy.com,7518236901,48,4673.6
35,Sara Cole,millsalyssa@hotmail.com,7576802095,3,3125.49
36,Alyssa Keller,ewhite@hotmail.com,7816184110,19,3180.57
37,Jaclyn Mendez,kaitlyn71@gmail.com,7585186368,35,2897.66
38,Charles Green,kleinrobert@hotmail.com,7288534916,7,1498.51
39,Marcus Patterson,glennwatts@morton-davis.com,9672476227,48,1247.26
40,William Morrow,longwilliam@yahoo.com,7820368312,7,147.69
41,James Le,sgordon@yahoo.com,9763233177,49,625.21
42,Tyrone Acosta,samanthahaynes@higgins.info,9159620394,31,166.51
43,Melissa Garrett,ryan19@mccoy.biz,8924759629,2,1695.2
44,Cole Hill,smithjessica@yahoo.com,7395943622,21,3119.51
45,Diana Bradshaw MD,nelsondavid@marks-nielsen.com,7263277291,15,1116.22
46,Kevin Jones,garrisondiana@hotmail.com,8931767518,6,793.47
47,Jennifer Long,keith54@gmail.com,8388308199,8,1818.94
48,Daniel Lopez,daniellegreene@gmail.com,9398347209,47,4751.48
49,Sara Garcia,karen88@hotmail.com,8610283191,12,2424.55
50,Amanda Jordan,clarkkevin@tyler-brown.com,9448103721,43,4480.6
51,Daniel Perkins,chadmcdonald@yahoo.com,9561814656,47,961.09
52,Michael Sawyer,amy54@hernandez-wilson.com,9271356156,1,373.14
53,Dr. Timothy Summers,kmiller@herrera.biz,9375448603,5,2316.39
54,Dillon Brown,christinageorge@hill.org,9740851247,2,1636.41
55,Molly Joyce,vanessa39@yahoo.com,8923172998,13,4484.5
56,Debra Santos,ebonymartinez@allen-brown.info,9998115248,21,2645.98
57,Christy Williams,pmiles@hotmail.com,9332668360,23,823.31
58,Douglas Jackson,mooneygwendolyn@mccarthy.com,8727052096,37,309.48
59,Jessica Reeves,murillojoseph@lee.com,7934776202,46,4939.08
60,Stephanie Pierce,lance10@yahoo.com,7890842682,4,2134.07
61,Heather Krause,nicholasstewart@hotmail.com,8314796757,46,241.04
62,Jack Skinner,osanders@gmail.com,9122501519,32,3185.05
63,Evan Scott,ysimpson@brown.com,7288958305,12,4085.89
64,Peter Hudson,suzannethompson@ellis.com,8187848743,45,3289.15
65,Diane Ortega,thomas32@gmail.com,8118713414,27,3853.67
66,Tammy Smith,jamesprice@yahoo.com,8752527045,26,4480.99
67,Joel Herrera,cjohnson@hotmail.com,7905124749,6,901.46
68,Jennifer Ryan,graypaul@rodriguez.net,7706652593,31,3875.56
69,Alexandra Mitchell,jeffreywatkins@yahoo.com,7222897870,43,3439.78
70,Crystal Gordon,andrewreynolds@yahoo.com,8628584005,19,3585.77
71,Anthony Harris,kellydaniel@zuniga.com,8546491887,4,2125
72,Edward Bauer,ijohnson@yahoo.com,9516830150,21,996.03
73,Rebecca Griffin,qbryant@morgan.biz,8382662485,28,4850.66
74,Jake Hernandez,tfitzgerald@yahoo.com,9659764909,42,3355.5
75,Monica Pierce,pamelastephens@reed-garza.com,9286217351,2,1723.57
76,Craig King,jennifer01@gmail.com,7546567812,13,1896.55
77,Julie Young,osnyder@yahoo.com,9955507430,14,3932.68
78,Amanda Harris,heathercarroll@gmail.com,8844128109,2,3311.06
79,Tracy Wright,owilliams@cooper.com,7566411543,30,4845.15
80,Kimberly Myers,mwest@hancock.net,9994987016,5,2838.05
81,Amanda Parker,hjohnson@martinez-love.info,8173418909,5,3787.47
82,Michael Perry,laura09@hotmail.com,9114330031,12,710.41
83,Monique Watkins,derek70@hotmail.com,9522411063,20,3105.23
84,Michael Roberts,matthew99@parker-rodriguez.com,8897868707,16,2355.36
85,Crystal Goodman,zrodriguez@gmail.com,9562077948,29,372.53
86,Maria Archer,rossfrances@blevins.com,9697965866,4,653.54
87,Kenneth Larsen,josephtucker@gmail.com,8554615293,3,2206.63
88,Morgan Banks MD,qerickson@phillips.com,7769130811,48,2982.99
89,Seth Henry,cholmes@miller.com,7868800703,21,2148.23
90,Alex Williams,xluna@blake.info,8269833767,41,4111.96
91,Lynn Lowery,edwardsreginald@schmidt.com,9443780450,13,4762.94
92,Craig Simmons,hawkinsshannon@evans.com,7169715892,10,1457.83
93,Cynthia Perry,vhall@bush-cole.com,7840917510,26,2982.67
94,Marie Jones,deborah00@henson-daniel.com,9871396567,40,4964.17
95,Kevin Monroe,mary20@johnson-bell.com,9697267377,36,3527.87
96,Hannah Brown,zcollins@gmail.com,7884681346,18,2452.55
97,Troy Barker,echen@hotmail.com,8793241776,29,2412.4
98,Jose Fitzpatrick,elizabethbrown@gmail.com,8104574797,10,4000.06
99,Kenneth Clayton,laura73@heath.com,9724737185,18,4875.47
100,Alan Kane,jonathandavis@yahoo.com,8785035992,23,4600.2
